,Name,Prices,Discounted_Price,Discounted_Percent
61,"Lipton Yellow Label Tea ,Made with the top, sun-ripened tea leaves475gm",599,0,0
62,"KN95 Face Protective Mask with Respirator, 5 Layers Protection - CE Certified - Black",140,0,0
63,"Gillette Blue II Plus Shaving Razor , Bag of 3",180,0,0
64,"Head & Shoulders Classic Clean Shampoo, 360 ml",485,0,0
65,"Head & Shoulders Classic Clean Shampoo, 185 ml",265,0,0
66,LUX SKiN CLEANSING PURPLE LOTUS100gm,58,0,0
67,"Brooke Bond Supreme Tea 950G, Since 1869 brooke bonds.",999,0,0
68,LUX VALENTINA RED BAR 140G,77,0,0
69,Lipton Yellow Label Black Tea 950gm,1099,0,0
70,Save Rs 50 on 11 KNORR CHATTPATTA NOODLES 66G,495,0,0
71,"Ariel Original Detergent Washing Powder, 3Kg Pack",880,0,0
72,"Ariel Original Detergent Washing Powder, 4kg pack",1155,0,0
73,Monja 7Pcs/Set Nail Art UV Kit Glitter Poly UV Builder Gel Nail Quick Extension Nail Tip Color Nail Tip French Nail Tip Form DIY Manicure Tool Set,1677,0,0
74,"Pantene Smooth & Strong Shampoo, 360 ml",460,0,0
75,Baseus Clear Phone CBaseus Clear Phone Case For iPhone 12 13 Pro Max 12Max Transparent Plating Case Coque Thin Soft TPU Back Cover For iPhone 12Proase For iPhone 12 Pro Max 12Max Transparent Plating Case Coque Thin Soft TPU Back Cover For iPhone 12Pro Max,2499,0,0
76,"Gillette Blue 3 Shaving Razor, Bag of 3",358,0,0
77,"Pantene Anti Hair Fall Shampoo, 360 ml",460,0,0
78,Best Door Draft & Dust Stopper - Insect - Air Stopper - Under Bottom Seal - Twin Draft Guard 18 19 20 21 22 23 24 25 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 Inches H&S,399,0,0
79,Push Pop Bubble Fidget Spinner Pop It Silicone Toy - 5 inches - Rainbow Unicorn,800,0,0
80,"Pantene Smooth & Strong Shampoo, 185 ml",250,0,0
81,Sequin Purse Mini Backpack Keychain Wallet,450,0,0
82,LUX FRESH SPLASH SOAP 140G,73,0,0
83,Self Adhesive Silver Aluminium Foil Sticker Sheet Roll for Kitchen - Oil Proof Waterproof Aluminium Sheet,295,0,0
84,SUNSILK BLACK SHINE SHAMPOO 185ml,260,0,0
85,TWS N21 Stereo True Wireless Earphone Touch Control Sport Earbuds With Microphone Bluetooth Earphone,2299,0,0
86,100 Stars / pcs Glow In The Dark Luminous 3D in Wall Sticker for Kids Room Room,300,0,0
87,Simple Hip Hop Retro Index Finger Ring Adjustable 7Pcs/Set Rings,469,0,0
88,"Head & Shoulders Silky Black Shampoo, 185 ml",265,0,0
89,"Always Ultra Sanitary Pads, Extra Long, Value Pack, 14 pads",360,0,0
90,Safeguard Bar Soap Lemon Fresh 135gm (Bundle of 3),215,0,0
91,Zzitaill Winner Gaming Headset Colorful TWS 5.0 Bluetooth Earphones No Dead Corner Bass Sound Positioning PUBG Wireless Earbuds,2499,0,0
92,D18S Smart Watch 1.44 Inch Round Screen For Men Women with Heart Rate Blood Pressure Sleep Monitor Sport Watch,1539,0,0
93,Tile Stickers Pack of 6 / 12 / 24 / 48 / 102 Pcs. 12x12 cm Black and White Pattern Design Wall Decorative Self Adhesive Tiles Stickers Bathroom Kitchen Sticker Wall Wallpaper Border Decoration,400,0,0
94,Flower Bloom Ring For Girls&Womens With Free Gift & Free Packing Box Adjustable Size Fit All,1646,0,0
95,Danedar - 475 GM,550,0,0
96,Tummy Trimmer High Quality Dual Power Spring Belly Loosening Fitness Exercise Machine Weight loss machine Belly loosening machine,1111,0,0
97,Tapal Danedar 950g Tea,1050,0,0
98,Master Chrome Metallic Highlighter - 100 Molten Gold,1599,0,0
99,LouisWill Women Sling Bag Cute Classy Elegant Fashion Small Mini Premium Waterproof Nylon Bag Travel Outing Sling Bag Shoulder Bag Cross-body Handbag,2219,0,0
100,Tapal Family Mixture Tea 475g,550,0,0
101,Safeguard Bar Soap Floral Scent 135gm (Bundle of 3),215,0,0
102,Motorcycle Helmet El Cold Light Helmet Light Strip Night Signal Luminous Modified Strip Helmet Sticker Ice Blue,3064,0,0
103,"Always Thicks Sanitary Pads, Extra Long, Trio Pack, 26 pads",550,0,0
104,BOB Super Curl Black Mascara Waterproof Mascara,399,0,0
105,"Tapal Family Mixture Tea, leaf brings out the taste 950g",1050,0,0
106,Pack Of 3 multi full Sleeves t shirt for kids,1284,0,0
107,JFKDX inPods 13 Pro Fingerprint Touch TWS Wireless Bluetooth V5.0 Earphones with Mic Charging Box i12 Pro Sound Quality Wireless Earbuds Hearphone Stereo Sports Gaming Headset For iPhone 13 12 11 Pro Max For HUAWEI OPPO VIVO Xiaomi SAMSUNG,1500,0,0
108,Sweet Lace Round Handbags Pu leather Crossbody Chain Flower Shoulder Bags,1500,0,0
109,LIFEBUOY LEMON FRESH SOAP 135G,60,0,0
110,Nexton Sunblock Whitening Lotion (Sunscreen) 135 ml,240,0,0
111,"Big 3d Wooden Wall Clock for Home and Offices, 3D Design Self Adhesive - GIFT City",2000,0,0
112,"F9 TWS Bluetooth Earbuds, Wireless Stereo Headphones, IPX7 Waterproof Sport Headset, Noise Cancelling Bluetooth Earphones with LED Charging Case for IOS Android Phone",1660,0,0
113,"Always Thicks Maxi Sanitary Pads, Long, Value Pack, 18 pads",360,0,0
114,"Ariel Touch of Downy Detergent Washing Powder, 3 kg pack",880,0,0
115,POP Bubble Squeeze Sensory Fidget Toy Pop It Fidgit Toy Rainbow Circle,459,0,0
116,AliToys Pop It Fidget Toy Fun Push and Pop Bubble Sensory Fidget Toys for Kids and Adults Pop It Stress Relief Toy,1097,0,0
117,Express Power 2kg - Detergent Washing Powder,410,0,0
118,LUX ROSE GLOW SOAP 140G,73,0,0
119,Led Digital Stylish Watch Shape Like Smart Watch,499,249,50
120,MHB Hair Growth Oil with Herbal Shampoo - Adds Softness & Shine 6 in 1 125ml,450,364,19
121,"Always Diamonds Ultra Thin Sanitary Pads, Long, Value Pack, 16 Pads",360,275,24
122,Double Power Bundle - Brite Maximum Power 2kg x 2,1220,1000,18
123,LIFEBUOY TURMERIC & HONEY SOAP 135G,0,62,0
124,KNORR TOMATO KETCHUP 800G,250,205,18
125,"Always Thicks Sanitary Pads, Long, Trio Pack, 30 pads",565,419,26
126,Pack of 3 Fine Cotton Jersey Full Sleeves Printed T Shirt For Kids and boys,1499,790,47
127,KNORR CHILLI GARLIC SAUCE 800G,255,209,18
128,BB SUPREME BLCK TEA PKT 475gm,530,479,10
129,"Pantene Deep Black Shampoo, 185 ml",250,213,15
130,Gionee Handsfree 100% Original Sweat-Proof Crystal-Clear Audio Deep-Bass Noise-Cancellation Microphone Each Handsfree Is Tested Before Shipping,499,189,62
131,Express Power 500g - Detergent Washing Powder,115,98,15
132,"Ariel Touch of Downy ,Washing Powder Detergent -1Kg Pack + Ariel Touch of Downy ,Washing Powder Detergent -1Kg Pack",660,589,11
133,Palmolive Naturals Bar Soap Saver Pack 135gx3,185,167,10
134,【Free silicone case】Bluewow Original Macaron i12 Inpods 12 i12 TWS Wireless Earphone for iphone 11 12 Bluetooth Headphones True Wireless Earbuds 100%Tested Free Gift,2399,989,59
135,Harpic Toilet Cleaner Original 125ml Retail,50,44,12
136,Bonus Active 700g - Detergent Washing Powder,99,87,12
137,10% OFF ON RAFHAN BANANA CUSTARD 275G,100,90,10
138,Genuine Mild Leather Men's Zipper Purse Wallet For Men No Fold Simple Wallet Clasp,950,375,61
139,"ENSURE® ORIGINAL POWDER - Chocolate - 400GmComplete, Balanced Nutrition®",1580,1499,5
140,Self Adhesive Black / White Marble Sheet for Kitchen - Anti Oil and Heat Resistant Wallpaper,330,290,12
141,Safeguard Bar Soap Pure White 175gm (Bundle of 3),267,239,10
142,Brite Machine Wash 1kg - Detergent Washing Powder,399,310,22
143,Flower Shaped 5 Slot Belt Hanger Multi-function ABS Plastic Scarf Hanger 5 Holes Hanging Towel Scarf Tie Necklace Jewelry Saving Space Hangers,293,98,67
144,LouisWill Classic Men Diamond Watches Luxury Gold Business Watch Stainless Steel Quartz Wristwatches Luminous Waterproof Quartz Watch with Calendar Analog for Male,3058,1739,43
145,Pack of 24 Dayfresh UHT Milk 250ml (Capped),1128,999,11
146,Push Pop Bubble Fidget Spinner Pop It Silicone Toy - 5 inches - Rainbow,459,369,20
147,Set of 5 Women's Ring New Lightning ECG Ladies Girls Ring Set Alloy Smooth Ring,376,180,52
148,Beautiful theme of Happy Birthday Cards Banner with combo of '30' PCs balloons '1'Golden Fringe Curtain(6x3.5feet) for Birthday Decorations,580,279,52
149,Lemon Max Dishwash Paste Green 400g,0,135,0
150,12 Pairs of Shoes Under Bed Shoe Organizer Bag Hard Solid Fabric with Clear Plastic Zip Cover Store up to,345,327,5
151,Door Draft & Dust Stopper - Insect - Air Stopper - Under Bottom Seal - Twin Draft Guard 22 23 24 25 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 Inches Full Size H&S,349,92,74
152,M5 Mini Smart Band Men Women Smart Watch Blood Pressure Sleep Monitor Pedometer Bluetooth Connection For IOS Android,1599,939,41
153,AliToys Pop It Fidget Toy Square Giant Big Size Educationl Puzzle 30x30cm Toys for Boys and Kids Birthdays Gift,2800,1281,54
154,Golden Titanium Rings For Girls,286,150,48
155,"Deal of 08 - Miss Rose Pan Cake, Compact Powder, Foundation Stick ,Base",1159,759,35
156,BOSTANTEN Women Wallet Wristlet Leather Ladies Long Bifold Clutch Checkbook Credit Card Holder Organizer Purse,3889,1289,67
157,Pack of 2 Printed Ready Made Curtain Panels Bed Room Curtains With Rings - Beddy's Studio,2500,1661,34
158,BTS Light Stick Ver.3 ARMY tan Boys Concert Lightstick Jung Kook,4999,4273,15
159,"Multicolour Printed Quilt , Comforter , Razai 250 Gram For Winter Thick And Flaffy BEDDYS STUDIO",3500,2793,20
160,Tile Stickers Pack of 6 / 12 / 24 / 48 / 102 Pcs. 12x12 cm Black and White MultiPattern Design Wall Decorative Self Adhesive Tiles Stickers Bathroom Kitchen Sticker Wall Wallpaper Border Decoration,200,91,55
161,OzalCtree Gym One Piece Yoga Jumpsuit Backless Active Wear Female Fitness Suit Tight Dance Bodysuit Running Workout Sport Suit,3730,2279,39
162,F9 TWS Wireless Earbuds 9D Stereo Dual Earbuds Bass HIFI Music Earphone Handsfree Waterproof Color Light LED Display Gaming Headset Bluetooth with Mic,1910,0,0
163,Green Stick Clay Mask For Deep Cleansing & Tight Of Pores With Green Tea Extract 40g,900,0,0
164,LIPTON YELLOW LABEL BLACK 95gm,130,0,0
165,Banarsi 3 pcs suit Pure Cotton Jacquard Jamawar Style (Black),3999,0,0
166,Express Ultra 1kg - Detergent Washing Powder,230,0,0
167,Brooke Bond Supreme Tea 190Gm,220,0,0
168,Golden Plated Heavy Metal Ring for Women / Golden Challa for Men,249,0,0
169,2Pcs Pop It Fidget Toy Set Rainbow Unicorn Toys For Kids Baby Girl Early Educational Popit Figet,1268,0,0
170,"HP USB 3.0 with 6 months replacement warranty Flash Drive 16GB, 32GB, 64GB",690,0,0
171,Pack of 4 Women Ladies Girls Classy Multi colour Printed Bra Brief Blouse Brazier Brassier Undergarments,850,0,0
172,Mini Invisible Ultra Single Bluetooth Mini Bluetooth Wireless Stereo Headset/Earphone/Handsfree/Headphone With Mic Universal Handsfree\ For All Android Phones/Bluetooth Headset For All Mobiles/Special Blue Tooth Headset,1000,0,0
173,LUX VALENTINA BAR WHITE 140G,77,0,0
174,i7S Double and i11 Wireless Bluetooth Hand Free with Power Bank Pod Stereo Earphones White bluetooth ear phone for all cell phones use,3000,0,0
175,"Head & Shoulders Silky Black Shampoo, 360 ml",485,0,0
176,KNORR NOODLES CHICKEN FAMILY PACK 264G,170,0,0
177,20 Feet Long Fairy Lights LED String For Room and Party Decoration For Indoor Corridor Portal Window,599,0,0
178,"Pantene Anti Hairfall Shampoo, 185 ml",250,0,0
179,Safeguard Bar Soap Pure White 135gm (Bundle of 3),215,0,0
180,"Lipton Yellow Label Tea ,Made with the top, sun-ripened tea leaves475gm",599,0,0
181,"KN95 Face Protective Mask with Respirator, 5 Layers Protection - CE Certified - Black",140,0,0
182,"Gillette Blue II Plus Shaving Razor , Bag of 3",180,0,0
183,"Head & Shoulders Classic Clean Shampoo, 360 ml",485,0,0
184,"Head & Shoulders Classic Clean Shampoo, 185 ml",265,0,0
185,LUX SKiN CLEANSING PURPLE LOTUS100gm,58,0,0
186,"Brooke Bond Supreme Tea 950G, Since 1869 brooke bonds.",999,0,0
187,LUX VALENTINA RED BAR 140G,77,0,0
188,Lipton Yellow Label Black Tea 950gm,1099,0,0
189,Save Rs 50 on 11 KNORR CHATTPATTA NOODLES 66G,495,0,0
190,"Ariel Original Detergent Washing Powder, 3Kg Pack",880,0,0
191,"Ariel Original Detergent Washing Powder, 4kg pack",1155,0,0
192,Monja 7Pcs/Set Nail Art UV Kit Glitter Poly UV Builder Gel Nail Quick Extension Nail Tip Color Nail Tip French Nail Tip Form DIY Manicure Tool Set,1677,0,0
193,"Pantene Smooth & Strong Shampoo, 360 ml",460,0,0
194,Baseus Clear Phone CBaseus Clear Phone Case For iPhone 12 13 Pro Max 12Max Transparent Plating Case Coque Thin Soft TPU Back Cover For iPhone 12Proase For iPhone 12 Pro Max 12Max Transparent Plating Case Coque Thin Soft TPU Back Cover For iPhone 12Pro Max,2499,0,0
195,"Gillette Blue 3 Shaving Razor, Bag of 3",358,0,0
196,"Pantene Anti Hair Fall Shampoo, 360 ml",460,0,0
197,Best Door Draft & Dust Stopper - Insect - Air Stopper - Under Bottom Seal - Twin Draft Guard 18 19 20 21 22 23 24 25 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 Inches H&S,399,0,0
198,Push Pop Bubble Fidget Spinner Pop It Silicone Toy - 5 inches - Rainbow Unicorn,800,0,0
199,"Pantene Smooth & Strong Shampoo, 185 ml",250,0,0
200,Sequin Purse Mini Backpack Keychain Wallet,450,0,0
201,LUX FRESH SPLASH SOAP 140G,73,0,0
202,Self Adhesive Silver Aluminium Foil Sticker Sheet Roll for Kitchen - Oil Proof Waterproof Aluminium Sheet,295,0,0
203,SUNSILK BLACK SHINE SHAMPOO 185ml,260,0,0
204,TWS N21 Stereo True Wireless Earphone Touch Control Sport Earbuds With Microphone Bluetooth Earphone,2299,0,0
205,100 Stars / pcs Glow In The Dark Luminous 3D in Wall Sticker for Kids Room Room,300,0,0
206,Simple Hip Hop Retro Index Finger Ring Adjustable 7Pcs/Set Rings,469,0,0
207,"Head & Shoulders Silky Black Shampoo, 185 ml",265,0,0
208,"Always Ultra Sanitary Pads, Extra Long, Value Pack, 14 pads",360,0,0
209,Safeguard Bar Soap Lemon Fresh 135gm (Bundle of 3),215,0,0
210,Zzitaill Winner Gaming Headset Colorful TWS 5.0 Bluetooth Earphones No Dead Corner Bass Sound Positioning PUBG Wireless Earbuds,2499,0,0
211,D18S Smart Watch 1.44 Inch Round Screen For Men Women with Heart Rate Blood Pressure Sleep Monitor Sport Watch,1539,0,0
212,Tile Stickers Pack of 6 / 12 / 24 / 48 / 102 Pcs. 12x12 cm Black and White Pattern Design Wall Decorative Self Adhesive Tiles Stickers Bathroom Kitchen Sticker Wall Wallpaper Border Decoration,400,0,0
213,Flower Bloom Ring For Girls&Womens With Free Gift & Free Packing Box Adjustable Size Fit All,1646,0,0
214,Danedar - 475 GM,550,0,0
215,Tummy Trimmer High Quality Dual Power Spring Belly Loosening Fitness Exercise Machine Weight loss machine Belly loosening machine,1111,0,0
216,Tapal Danedar 950g Tea,1050,0,0
217,Master Chrome Metallic Highlighter - 100 Molten Gold,1599,0,0
218,LouisWill Women Sling Bag Cute Classy Elegant Fashion Small Mini Premium Waterproof Nylon Bag Travel Outing Sling Bag Shoulder Bag Cross-body Handbag,2219,0,0
219,Tapal Family Mixture Tea 475g,550,0,0
220,Safeguard Bar Soap Floral Scent 135gm (Bundle of 3),215,0,0
221,Motorcycle Helmet El Cold Light Helmet Light Strip Night Signal Luminous Modified Strip Helmet Sticker Ice Blue,3064,0,0
222,"Always Thicks Sanitary Pads, Extra Long, Trio Pack, 26 pads",550,0,0
223,BOB Super Curl Black Mascara Waterproof Mascara,399,0,0
224,"Tapal Family Mixture Tea, leaf brings out the taste 950g",1050,0,0
225,Pack Of 3 multi full Sleeves t shirt for kids,1284,0,0
226,JFKDX inPods 13 Pro Fingerprint Touch TWS Wireless Bluetooth V5.0 Earphones with Mic Charging Box i12 Pro Sound Quality Wireless Earbuds Hearphone Stereo Sports Gaming Headset For iPhone 13 12 11 Pro Max For HUAWEI OPPO VIVO Xiaomi SAMSUNG,1500,0,0
227,Sweet Lace Round Handbags Pu leather Crossbody Chain Flower Shoulder Bags,1500,0,0
228,LIFEBUOY LEMON FRESH SOAP 135G,60,0,0
229,Nexton Sunblock Whitening Lotion (Sunscreen) 135 ml,240,0,0
230,"Big 3d Wooden Wall Clock for Home and Offices, 3D Design Self Adhesive - GIFT City",2000,0,0
231,"F9 TWS Bluetooth Earbuds, Wireless Stereo Headphones, IPX7 Waterproof Sport Headset, Noise Cancelling Bluetooth Earphones with LED Charging Case for IOS Android Phone",1660,0,0
232,"Always Thicks Maxi Sanitary Pads, Long, Value Pack, 18 pads",360,0,0
233,"Ariel Touch of Downy Detergent Washing Powder, 3 kg pack",880,0,0
234,POP Bubble Squeeze Sensory Fidget Toy Pop It Fidgit Toy Rainbow Circle,459,0,0
235,AliToys Pop It Fidget Toy Fun Push and Pop Bubble Sensory Fidget Toys for Kids and Adults Pop It Stress Relief Toy,1097,0,0
236,Express Power 2kg - Detergent Washing Powder,410,0,0
237,LUX ROSE GLOW SOAP 140G,73,0,0
